externalpid,name
642519,"Shreyas Iyer "
277916,"Ajinkya Rahane "
677081,"Keemo Paul "
1070168,"Prithvi Shaw "
28235,"Shikhar Dhawan "
670025,"Shimron Hetmyer"
298438,"Jason Roy"
931581,"Rishabh Pant "
326434,"Alex Carey"
325012,"Marcus Stoinis"
930189,"Lalit Yadav"
247235,"Chris Woakes"
694211,"Avesh Khan "
26421,"Ravichandran Ashwin "
960361,"Sandeep Lamichhane "
554691,"Axar Patel "
390481,"Harshal Patel "
236779,"Ishant Sharma "
550215,"Kagiso Rabada "
537119,"Mohit Sharma"
822553,"Tushar Deshpande"
31107,"Amit Mishra "
1079434,"Riyan Parag"
377534,"Shashank Singh"
267192,"Steven Smith"
321777,"David Miller"
532856,"Manan Vohra"
1151278,"Yashasvi Jaiswal"
35582,"Robin Uthappa"
308967,"Jos Buttler"
425943,"Sanju Samson"
1123073,"Anuj Rawat"
311158,"Ben Stokes"
853265,"Mahipal Lomror"
344580,"Shreyas Gopal"
550235,"Tom Curran"
669855,"Jofra Archer"
420644,"Aniruddha Joshi"
591650,"Ankit Rajpoot"
423838,"Rahul Tewatia"
360911,"Varun Aaron"
390484,"Jaydev Unadkat"
1122918,"Kartik Tyagi"
459508,"Andrew Tye"
914567,"Oshane Thomas"
1175458,"Akash Singh"
1081442,"Mayank Markande"
253802,"Virat Kohli"
1119026,"Devdutt Padikkal"
537124,"Gurkeerat Singh"
5334,"Aaron Finch"
44936,"AB de Villiers"
1124282,"Josh Philippe"
32242,"Parthiv Patel"
1159711,"Shahbaz Ahamad"
530773,"Pawan Negi"
714451,"Shivam Dube"
8917,"Moeen Ali"
328026,"Isuru Udana"
422104,"Pavan Deshpande"
439952,"Chris Morris"
719715,"Washington Sundar"
379504,"Adam Zampa"
47492,"Dale Steyn"
940973,"Mohammed Siraj"
700167,"Navdeep Saini"
376116,"Umesh Yadav"
430246,"Yuzvendra Chahal"
277906,"Kane Williamson"
219889,"David Warner"
290630,"Manish Pandey"
1070180,"Priyam Garg"
720465,"Virat Singh"
1175485,"Abdul Samad"
297433,"Jonny Bairstow"
302579,"Shreevats Goswami"
279810,"Wridhiman Saha"
1070183,"Abhishek Sharma"
477021,"Vijay Shankar"
272450,"Mitchell Marsh"
25913,"Mohammad Nabi"
670013,"Fabian Allen"
427484,"Sandeep Bavanaka"
1048841,"Sanjay Yadav"
732291,"Basil Thampi"
326016,"Bhuvaneshwar Kumar"
533042,"Billy Stanlake"
793463,"Rashid Khan"
438362,"Sandeep Sharma"
31872,"Shahbaz Nadeem"
326017,"Siddarth Kaul"
942645,"Khaleel Ahmed"
802575,"T Natarajan"
604527,"Nitish Rana"
723105,"Rinku Singh"
1070173,"Shubman Gill"
422342,"Siddhesh Lad"
24598,"Eoin Morgan"
554700,"Nikhil Shankar Naik"
446763,"Rahul Tripathi"
877051,"Tom Banton"
30045,"Dinesh Karthik"
276298,"Andre Russell"
1079848,"Shivam Mavi"
787073,"Chris Green"
1108375,"Varun Chakravarthy"
1070188,"Kamlesh Nagarkoti"
230558,"Sunil Narine"
917159,"Prasidh Krishna"
493773,"Lockie Ferguson"
559235,"Kuldeep Yadav"
592735,"Sandeep Warrier"
1151286,"Manimaran Siddharth"
489889,"Pat Cummins"
398439,"Karun Nair"
51880,"Chris Gayle"
398438,"Mayank Agarwal"
398506,"Mandeep Singh"
642525,"Sarfaraz Khan"
604302,"Nicholas Pooran"
NULL,"Prabhsimran Singh"
422108,"KL Rahul"
1168641,"Harpreet Brar"
325026,"Glenn Maxwell"
424377,"Krishnappa Gowtham"
497121,"Deepak Hooda"
355269,"James Neesham"
1079860,"Tajinder Dhillon"
288992,"Chris Jordan"
967603,"Ishan Porel"
375126,"Hardus Viljoen"
527663,"Jagadeesha Suchith"
481896,"Mohammed Shami"
1175441,"Ravi Bishnoi"
495551,"Sheldon Cottrell"
1125976,"Arshdeep Singh"
1111917,"Darshan Nalkande"
528067,"Murugan Ashwin"
974109,"Mujeeb Ur Rahman"
237095,"Murali Vijay"
33141,"Ambati Rayudu"
1060380,"Ruturaj Gaikwad"
33335,"Suresh Raina"
44828,"Faf Du Plessis"
28081,"MS Dhoni"
1048813,"N Jagadeesan"
8180,"Shane Watson"
51439,"Dwayne Bravo"
290716,"Kedar Jadhav"
234675,"Ravindra Jadeja"
32966,"Piyush Chawla"
502714,"Mitchell Santner"
694209,"Monu Kumar"
662973,"Sam Curran"
475281,"Shardul Thakur"
447261,"Deepak Chahar"
1083030,"Asif K M"
40618,"Imran Tahir"
30288,"Karn Sharma"
542023,"Lungi Ngidi"
288284,"Josh Hazlewood"
1048739,"R Sai Kishore"
34102,"Rohit Sharma"
446507,"Suryakumar Yadav"
326637,"Chris Lynn"
35390,"Saurabh Tiwary"
851261,"Anmonpreet Singh"
720471,"Ishan Kishan"
333904,"Aditya Tare"
379143,"Quinton De Kock"
625371,"Hardik Pandya"
471342,"Krunal Pandya"
230559,"Kieron Pollard"
914541,"Sherfane Rutherford"
1079839,"Anukul Roy"
1210280,"Prince Balwant Rai Singh"
1206410,"Digvijay Deshmukh"
625383,"Jasprit Bumrah"
272465,"James Pattinson"
1064812,"Rahul Chahar"
1132005,"Mohsin Khan"
319439,"Mitchell McClenaghan"
277955,"Dhawan Kulkarni"
277912,"Trent Boult"
447587,"Jayant Yadav"
261354,"Nathan Coulter-Nile"
826901,"Daniel Sams"
481979,"Anrich Nortje"
1161024,"Simran Singh"
391485,"Jason Holder"
777515,"Praveen Dubey"
237696, "Sheldon Jackson"
297628, "Sam Billing"